卫视频道,#genre#
东方卫视,http://49.234.31.101:7011/tsfile/live/1051_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://121.19.134.69:808/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
南方卫视,http://49.234.31.101:7066/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&down=1
吉林卫视,http://101.18.26.104:808/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://49.234.31.101:7011/tsfile/live/1063_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://49.234.31.101:7011/tsfile/live/1056_1.m3u8?key=txiptv&playlive=1&authid=0
宁夏卫视,http://49.234.31.101:7011/tsfile/live/1083_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://101.18.26.104:808/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://49.234.31.101:7066/tsfile/live/1059_1.m3u8?key=txiptv&playlive=1&down=1
山东卫视,http://49.234.31.101:7066/tsfile/live/1063_1.m3u8?key=txiptv&playlive=1&down=1
广西卫视,http://49.234.31.101:7066/tsfile/live/1054_1.m3u8?key=txiptv&playlive=1&down=1
江苏卫视,http://49.234.31.101:7011/tsfile/live/1050_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://101.18.26.104:808/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://49.234.31.101:7011/tsfile/live/1058_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://101.18.26.104:808/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://49.234.31.101:7066/tsfile/live/1055_1.m3u8?key=txiptv&playlive=1&down=1
浙江卫视,http://49.234.31.101:7066/tsfile/live/1045_1.m3u8?key=txiptv&playlive=1&down=1
海南卫视,http://101.18.26.104:808/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://49.234.31.101:7011/tsfile/live/1059_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://49.234.31.101:7066/tsfile/live/1053_1.m3u8?key=txiptv&playlive=1&down=1
湖南卫视,http://49.234.31.101:7011/tsfile/live/1048_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://49.234.31.101:7066/tsfile/live/1044_1.m3u8?key=txiptv&playlive=1&down=1
综合卫视,http://49.234.31.101:7011/tsfile/live/1085_1.m3u8?key=txiptv&playlive=1&authid=0
西藏卫视,http://101.18.26.104:808/tsfile/live/0111_1.m3u8?key=txiptv&playlive=1&authid=0
西藏卫视,http://121.19.134.69:808/tsfile/live/0111_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://49.234.31.101:7066/tsfile/live/1052_1.m3u8?key=txiptv&playlive=1&down=1
辽宁卫视,http://121.19.134.69:808/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://49.234.31.101:7011/tsfile/live/1061_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://121.19.134.69:808/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://49.234.31.101:7011/tsfile/live/1068_1.m3u8?key=txiptv&playlive=1&authid=0
陕西卫视,http://121.19.134.69:808/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
陕西卫视,http://49.234.31.101:7011/tsfile/live/1077_1.m3u8?key=txiptv&playlive=1&authid=0
陕西卫视,http://49.234.31.101:7066/tsfile/live/1068_1.m3u8?key=txiptv&playlive=1&down=1
青海卫视,http://101.18.26.104:808/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://121.19.134.69:808/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://49.234.31.101:7011/tsfile/live/1054_1.m3u8?key=txiptv&playlive=1&authid=0
